filename, n, cpu_time_used
460.node, 460, 0.000916
461.node, 461, 0.000853
462.node, 462, 0.000859
463.node, 463, 0.000916
464.node, 464, 0.000933
465.node, 465, 0.000947
466.node, 466, 0.000985
467.node, 467, 0.000917
468.node, 468, 0.000884
469.node, 469, 0.000896
470.node, 470, 0.000904
471.node, 471, 0.000897
472.node, 472, 0.000904
473.node, 473, 0.000929
474.node, 474, 0.001004
475.node, 475, 0.001052
476.node, 476, 0.001023
477.node, 477, 0.001077
478.node, 478, 0.000936
479.node, 479, 0.000902
480.node, 480, 0.000907
481.node, 481, 0.000908
482.node, 482, 0.000906
483.node, 483, 0.000921
484.node, 484, 0.000927
485.node, 485, 0.000925
486.node, 486, 0.000936
487.node, 487, 0.000935
488.node, 488, 0.000923
489.node, 489, 0.000945
490.node, 490, 0.001091
491.node, 491, 0.001098
492.node, 492, 0.001068
493.node, 493, 0.00103
494.node, 494, 0.001071
495.node, 495, 0.000995
496.node, 496, 0.001039
497.node, 497, 0.000998
498.node, 498, 0.001007
499.node, 499, 0.000995
500.node, 500, 0.000977
501.node, 501, 0.001049
502.node, 502, 0.001162
503.node, 503, 0.001147
504.node, 504, 0.00116
505.node, 505, 0.001177
506.node, 506, 0.00099
507.node, 507, 0.001027
508.node, 508, 0.001179
509.node, 509, 0.001041
510.node, 510, 0.001056
511.node, 511, 0.001029
512.node, 512, 0.001136
513.node, 513, 0.001234
514.node, 514, 0.001184
515.node, 515, 0.001221
516.node, 516, 0.001201
517.node, 517, 0.001195
518.node, 518, 0.001253
519.node, 519, 0.001192
520.node, 520, 0.001118
521.node, 521, 0.001136
522.node, 522, 0.001226
523.node, 523, 0.001257
524.node, 524, 0.001148
525.node, 525, 0.001103
526.node, 526, 0.001154
527.node, 527, 0.001222
528.node, 528, 0.001255
529.node, 529, 0.001271
530.node, 530, 0.001212
531.node, 531, 0.001123
532.node, 532, 0.001246
533.node, 533, 0.001305
534.node, 534, 0.001159
535.node, 535, 0.001133
536.node, 536, 0.001131
537.node, 537, 0.001196
538.node, 538, 0.001175
539.node, 539, 0.001175
540.node, 540, 0.001183
541.node, 541, 0.00119
542.node, 542, 0.001209
543.node, 543, 0.00116
544.node, 544, 0.001604
545.node, 545, 0.00137
546.node, 546, 0.001364
547.node, 547, 0.001352
548.node, 548, 0.001261
549.node, 549, 0.001278
550.node, 550, 0.00131
551.node, 551, 0.001364
552.node, 552, 0.001406
553.node, 553, 0.0014
554.node, 554, 0.00125
555.node, 555, 0.001244
556.node, 556, 0.001253
557.node, 557, 0.001306
558.node, 558, 0.001254
559.node, 559, 0.001267
