filename, n, cpu_time_used
463.node,463,9.90E-05
464.node,464,8.90E-05
465.node,465,9.10E-05
466.node,466,9.10E-05
467.node,467,9.10E-05
468.node,468,9.20E-05
469.node,469,9.40E-05
470.node,470,9.10E-05
471.node,471,9.30E-05
472.node,472,9.30E-05
473.node,473,9.40E-05
474.node,474,0.000109
475.node,475,0.000104
476.node,476,0.000107
477.node,477,0.00022
478.node,478,0.000123
479.node,479,0.000114
480.node,480,0.000102
481.node,481,0.000135
482.node,482,0.000109
483.node,483,0.000107
484.node,484,0.000114
485.node,485,0.000103
486.node,486,0.000113
487.node,487,0.000118
488.node,488,0.000209
489.node,489,0.000141
490.node,490,0.000155
491.node,491,0.000116
492.node,492,0.000105
493.node,493,0.000109
494.node,494,0.000117
495.node,495,0.000112
496.node,496,0.000105
497.node,497,0.000113
498.node,498,0.000129
499.node,499,0.000112
500.node,500,9.70E-05
501.node,501,0.000106
502.node,502,9.80E-05
503.node,503,0.000103
504.node,504,9.90E-05
505.node,505,0.000112
506.node,506,0.000103
507.node,507,0.000135
508.node,508,0.000102
509.node,509,0.000119
510.node,510,9.90E-05
511.node,511,0.000146
512.node,512,0.000116
513.node,513,0.000136
514.node,514,0.000108
515.node,515,0.000124
516.node,516,0.000102
517.node,517,0.000105
518.node,518,0.000109
519.node,519,0.000105
520.node,520,0.0001
521.node,521,0.00013
522.node,522,0.000104
523.node,523,0.000102
524.node,524,0.000102
525.node,525,0.000106
526.node,526,0.000103
527.node,527,0.000103
528.node,528,0.000102
529.node,529,0.000104
530.node,530,0.000109
531.node,531,0.000101
532.node,532,0.000131
533.node,533,0.000119
534.node,534,0.000105
535.node,535,0.000139
536.node,536,0.000142
537.node,537,0.000138
538.node,538,0.000125
539.node,539,0.000134
540.node,540,0.000118
541.node,541,0.000147
542.node,542,0.000146
543.node,543,0.00012
544.node,544,0.000123
545.node,545,0.000118
546.node,546,0.000118
547.node,547,0.000121
548.node,548,0.000111
549.node,549,0.000113
550.node,550,0.000113
551.node,551,0.000114
552.node,552,0.000118
553.node,553,0.00012
554.node,554,0.000114
555.node,555,0.000115
556.node,556,0.00011
557.node,557,0.000118
558.node,558,0.000111
559.node,559,0.000114
560.node,560,0.000142
561.node,561,0.000133
562.node,562,0.000115
563.node,563,0.000119
564.node,564,0.000124
565.node,565,0.000137
566.node,566,0.000123
567.node,567,0.000129
568.node,568,0.000143
569.node,569,0.000149
570.node,570,0.000135
571.node,571,0.000227
572.node,572,0.000142
573.node,573,0.000133
574.node,574,0.000127
575.node,575,0.000115
576.node,576,0.000112
577.node,577,0.000115
578.node,578,0.000112
579.node,579,0.000114
580.node,580,0.000119
581.node,581,0.000115
582.node,582,0.000113
583.node,583,0.000114
584.node,584,0.000117
585.node,585,0.000115
586.node,586,0.000118
587.node,587,0.000112
588.node,588,0.000118
589.node,589,0.000117
590.node,590,0.000113
591.node,591,0.000121
592.node,592,0.000147
593.node,593,0.00013
594.node,594,0.000134
595.node,595,0.000148
596.node,596,0.000137
597.node,597,0.000147
598.node,598,0.000155
599.node,599,0.000128
600.node,600,0.000131
601.node,601,0.000124
602.node,602,0.00012
603.node,603,0.000142
604.node,604,0.000127
605.node,605,0.000135
606.node,606,0.000131
607.node,607,0.000146
608.node,608,0.000164
609.node,609,0.000143
610.node,610,0.000139
611.node,611,0.000126
612.node,612,0.000118
613.node,613,0.000135
614.node,614,0.000123
615.node,615,0.00013
616.node,616,0.000124
617.node,617,0.000119
618.node,618,0.000128
619.node,619,0.000138
620.node,620,0.000138
621.node,621,0.000122
622.node,622,0.000125
623.node,623,0.000123
624.node,624,0.000138
625.node,625,0.000147
626.node,626,0.000144
627.node,627,0.00014
628.node,628,0.000145
629.node,629,0.000127
630.node,630,0.00014
631.node,631,0.000136
632.node,632,0.000139
633.node,633,0.000143
634.node,634,0.000136
635.node,635,0.000141
636.node,636,0.000141
637.node,637,0.000143
638.node,638,0.000126
639.node,639,0.000133
640.node,640,0.000124
641.node,641,0.000127
642.node,642,0.000124
643.node,643,0.000148
644.node,644,0.000126
645.node,645,0.00015
646.node,646,0.000154
647.node,647,0.000157
648.node,648,0.00014
649.node,649,0.000214
650.node,650,0.000207
651.node,651,0.000214
652.node,652,0.000154
653.node,653,0.000138
654.node,654,0.000132
655.node,655,0.00013
656.node,656,0.000141
657.node,657,0.00014
658.node,658,0.000146
659.node,659,0.000142
660.node,660,0.000131
661.node,661,0.000134
662.node,662,0.000134
663.node,663,0.000137
664.node,664,0.000137
665.node,665,0.000137
666.node,666,0.000136
667.node,667,0.000137
668.node,668,0.000155
669.node,669,0.000144
670.node,670,0.000138
671.node,671,0.00014
672.node,672,0.000131
673.node,673,0.000134
674.node,674,0.000134
675.node,675,0.000149
676.node,676,0.000167
677.node,677,0.000151
678.node,678,0.000131
679.node,679,0.000138
680.node,680,0.000167
681.node,681,0.00017
682.node,682,0.000135
683.node,683,0.000136
684.node,684,0.000138
685.node,685,0.000139
686.node,686,0.00015
687.node,687,0.000166
688.node,688,0.000142
689.node,689,0.00015
690.node,690,0.000153
691.node,691,0.000154
692.node,692,0.000161
693.node,693,0.000152
694.node,694,0.000168
695.node,695,0.000138
696.node,696,0.000137
697.node,697,0.000138
698.node,698,0.000139
699.node,699,0.000159
700.node,700,0.000164
701.node,701,0.000151
702.node,702,0.000138
703.node,703,0.00014
704.node,704,0.000163
705.node,705,0.000139
706.node,706,0.000145
707.node,707,0.000142
708.node,708,0.000151
709.node,709,0.000143
710.node,710,0.000143
711.node,711,0.000141
712.node,712,0.000147
713.node,713,0.000142
714.node,714,0.000169
715.node,715,0.000149
716.node,716,0.000145
717.node,717,0.000142
718.node,718,0.000156
719.node,719,0.000157
720.node,720,0.000183
721.node,721,0.000178
722.node,722,0.000188
723.node,723,0.000164
724.node,724,0.00016
725.node,725,0.000162
726.node,726,0.000148
727.node,727,0.000155
728.node,728,0.000147
729.node,729,0.000148
730.node,730,0.000152
731.node,731,0.000157
732.node,732,0.00015
733.node,733,0.000153
734.node,734,0.000153
735.node,735,0.000151
736.node,736,0.000151
737.node,737,0.000147
738.node,738,0.000153
739.node,739,0.000153
740.node,740,0.000159
741.node,741,0.000148
742.node,742,0.000165
743.node,743,0.000176
744.node,744,0.000171
745.node,745,0.000162
746.node,746,0.000226
747.node,747,0.000174
748.node,748,0.000168
749.node,749,0.000165
750.node,750,0.000163
751.node,751,0.000148
752.node,752,0.000151
753.node,753,0.00015
754.node,754,0.000162
755.node,755,0.000152
756.node,756,0.00016
757.node,757,0.000171
758.node,758,0.000152
759.node,759,0.00015
760.node,760,0.000149
761.node,761,0.000153
762.node,762,0.000153
763.node,763,0.000174
764.node,764,0.000176
765.node,765,0.000179
766.node,766,0.000185
767.node,767,0.000215
768.node,768,0.000228
769.node,769,0.000179
770.node,770,0.000159
771.node,771,0.000189
772.node,772,0.000157
773.node,773,0.000161
774.node,774,0.000156
775.node,775,0.000203
776.node,776,0.00017
777.node,777,0.000155
778.node,778,0.000157
779.node,779,0.000175
780.node,780,0.000156
781.node,781,0.000159
782.node,782,0.000157
783.node,783,0.000172
784.node,784,0.000165
785.node,785,0.000164
786.node,786,0.000158
787.node,787,0.000168
788.node,788,0.000158
789.node,789,0.000195
790.node,790,0.000183
791.node,791,0.000175
792.node,792,0.000164
793.node,793,0.000161
794.node,794,0.000184
795.node,795,0.000167
796.node,796,0.000176
797.node,797,0.000178
798.node,798,0.000183
799.node,799,0.000209
800.node,800,0.000202
801.node,801,0.000187
802.node,802,0.00016
803.node,803,0.000158
804.node,804,0.000162
805.node,805,0.00018
806.node,806,0.000178
807.node,807,0.000218
808.node,808,0.000227
809.node,809,0.000223
810.node,810,0.000199
811.node,811,0.000179
812.node,812,0.000167
813.node,813,0.000171
814.node,814,0.00017
815.node,815,0.000161
816.node,816,0.000168
817.node,817,0.000167
818.node,818,0.000223
819.node,819,0.000163
820.node,820,0.000163
821.node,821,0.000168
822.node,822,0.000173
823.node,823,0.000164
824.node,824,0.000167
825.node,825,0.000179
826.node,826,0.000167
827.node,827,0.00019
828.node,828,0.000166
829.node,829,0.000268
830.node,830,0.000198
831.node,831,0.000183
832.node,832,0.00017
833.node,833,0.000196
834.node,834,0.000239
835.node,835,0.000219
836.node,836,0.00024
837.node,837,0.000174
838.node,838,0.000221
839.node,839,0.000204
840.node,840,0.000178
841.node,841,0.000194
842.node,842,0.00024
843.node,843,0.000218
844.node,844,0.0002
845.node,845,0.000223
846.node,846,0.000196
847.node,847,0.000218
848.node,848,0.000178
849.node,849,0.000203
850.node,850,0.000177
851.node,851,0.00017
852.node,852,0.000178
853.node,853,0.000175
854.node,854,0.00017
855.node,855,0.000195
856.node,856,0.000171
857.node,857,0.000219
858.node,858,0.000177
859.node,859,0.000178
860.node,860,0.000173
861.node,861,0.000203
862.node,862,0.000197
863.node,863,0.000259
864.node,864,0.000252
865.node,865,0.000334
866.node,866,0.000248
867.node,867,0.000215
868.node,868,0.0002
869.node,869,0.000175
870.node,870,0.000194
871.node,871,0.00018
872.node,872,0.000227
873.node,873,0.000203
874.node,874,0.000198
875.node,875,0.00018
876.node,876,0.000178
877.node,877,0.000192
878.node,878,0.000193
879.node,879,0.000191
880.node,880,0.000178
881.node,881,0.000178
882.node,882,0.000227
883.node,883,0.000354
884.node,884,0.000234
885.node,885,0.000207
886.node,886,0.000197
887.node,887,0.000221
888.node,888,0.000206
889.node,889,0.000209
890.node,890,0.000176
891.node,891,0.000179
892.node,892,0.000178
893.node,893,0.000178
